"","term","label","estimate","std.error","p.value","star"
"27","mabsnfcases:ageb25to34","Absolute non-fatal cases/mo X ageb25to34",-0.000306865260052743,0.000311145164879678,0.324013064451579,""
"28","mabsnfcases:ageb55to64","Absolute non-fatal cases/mo X ageb55to64",0.00120480980774339,0.000364686232878037,0.00095421706896031,"*"
"29","mabsnfcases:rejectonly","Absolute non-fatal cases/mo X 1=only reason neither is scen reject",0.000956844411886491,2.86864090925036,0.999733863040607,""
"30","avcost","Avg. hhld cost for county",-0.000476020133985944,0.000910528435712322,0.601116598095346,""
"31","avcost:OR","Avg. hhld cost for county X OR",-0.000414811918169831,0.000711346986993854,0.559801862837472,""
"32","avcost:WA","Avg. hhld cost for county X WA",-0.00191497305446902,0.000539225943872636,0.000383279293468687,"*"
"33","demeanrp:avcost","Avg. hhld cost for county X avcost",0.000520416866502754,0.000355617077438124,0.143352702333058,""
"34","avcost:black","Avg. hhld cost for county X black",-0.00235206176774387,0.000994947505180074,0.0180785249017163,"*"
"35","asian:avcost","Avg. hhld cost for county X avcost",-0.00273065721315691,0.000768393509922442,0.000379819928821726,"*"
"36","female:avcost","Avg. hhld cost for county X avcost",0.00160779616452469,0.000497215131697631,0.00122239400772134,"*"
"37","nonbinary:avcost","Avg. hhld cost for county X avcost",0.0305240861902054,0.0243172771372011,0.209390645424544,""
"38","avcost:pzipageunder6","Avg. hhld cost for county X pzipageunder6",0.0136992398889829,0.00728864986783265,0.0601720900085701,""
"39","avcost:pziprasian","Avg. hhld cost for county X pziprasian",-0.00186135216714344,0.00163915145276968,0.256141436141718,""
"40","avcost:pziprothrace3","Avg. hhld cost for county X pziprothrace3",-0.0125693515443505,0.00282839893051673,8.83093433590371e-06,"*"
"41","avcost:pzipimanuf","Avg. hhld cost for county X pzipimanuf",-0.00217491374578995,0.0033754094630725,0.519354519361555,""
"42","avcost:pzipiwholes","Avg. hhld cost for county X pzipiwholes",-0.0127065026222138,0.0132311849780548,0.336881598275611,""
"43","avcost:pzipifinan","Avg. hhld cost for county X pzipifinan",0.0269267652347644,0.00838363536369552,0.00131894933600148,"*"
"44","avcost:comresp","Avg. hhld cost for county X 1=Own respir. group",-0.00226913634054609,0.000732889125823602,0.00196049647975326,"*"
"45","avcost:comcanc","Avg. hhld cost for county X 1=Own cancer group",-0.00127471146402596,0.000965922866174121,0.186941058644877,""
"46","avcost:comage","Avg. hhld cost for county X 1=Own aged group",-0.00269415690591833,0.000834353559505986,0.00124208661272302,"*"
"47","comcovid:avcost","1=Own COVID X Avg. hhld cost for county",0.00221743030591455,0.00105562130794116,0.0356767443559335,"*"
"48","comorbid:avcost","1=Own underlying conditions X Avg. hhld cost for county",-0.00027293766693481,0.000550567717284317,0.62007885278814,""
"49","avcost:ffcomdiab","Avg. hhld cost for county X 1=Family diabetes group",-0.00140837715935261,0.00052673861050055,0.007500418446152,"*"
"50","avcost:ffcomresp","Avg. hhld cost for county X 1=Family respir. group",0.00161488389827836,0.000658184606395323,0.01414568264134,"*"
"51","ffcomother:avcost","1=Family other illness X Avg. hhld cost for county",0.000626699545544018,0.00192980950181574,0.745372677954639,""
"52","avcost:ffcomcovid","Avg. hhld cost for county X 1=Family COVID",0.00195397651762935,0.000869026769540835,0.0245465367077433,"*"
"53","avcost:vulnchild","Avg. hhld cost for county X 1=Children vulnerable",0.00098941853083001,0.000427999689655649,0.0207927206143099,"*"
"54","vulnmen:avcost","1=Men vulnerable X Avg. hhld cost for county",-0.00111031116657216,0.000625961984195742,0.076101578274581,""
"55","vulnnoneng:avcost","1=Non-Engl. vulnerable X Avg. hhld cost for county",0.00120824165255453,0.000851742679231221,0.156029541091848,""
"56","avcost:vulnnosci","Avg. hhld cost for county X 1=No science vulnerable",0.00150189518509432,0.000615371081492419,0.0146615318060534,"*"
"57","ageb55to64:avcost","Avg. hhld cost for county X avcost",-0.0019549769241827,0.000690536979285154,0.00463887021763038,"*"
"58","ageb65to74:avcost","Avg. hhld cost for county X avcost",0.000835301954950046,0.000623823741289469,0.180569647272541,""
"59","unempl","Unempl rate for county",0.0260502079712829,0.0268477964740935,0.331900855491988,""
"60","asian:unempl","Unempl rate for county X unempl",0.0377213151606166,0.0271533180607297,0.164772773448856,""
"61","female:unempl","Unempl rate for county X unempl",-0.049926310926674,0.0155337793402851,0.00130877836454337,"*"
"62","unempl:pzipage12to17","Unempl rate for county X pzipage12to17",-0.429463427761628,0.168368651186403,0.010749672927527,"*"
"63","unempl:pziprblack","Unempl rate for county X pziprblack",0.401933927666948,0.140710519985395,0.00428394403651683,"*"
"64","pziprothrace3:unempl","Unempl rate for county X unempl",0.3180348126707,0.0956882785401514,0.000888460765612566,"*"
"65","unempl:pziprmulti","Unempl rate for county X pziprmulti",-0.125994222115936,0.215055849662049,0.557964592993393,""
"66","pzipiagric:unempl","Unempl rate for county X unempl",-0.29934659645655,0.12541471906885,0.0169932484269351,"*"
"67","unempl:pzipiconstr","Unempl rate for county X pzipiconstr",-0.135328853982012,0.233903419999555,0.562881221119371,""
"68","comresp:unempl","1=Own respir. group X Unempl rate for county",0.0290275803795558,0.0202480205729241,0.15168618846803,""
"69","comage:unempl","1=Own aged group X Unempl rate for county",0.0373555999640949,0.0237397612264453,0.115592507669595,""
"70","comcovid:unempl","1=Own COVID X Unempl rate for county",-0.0615462463005683,0.0306169310580524,0.0444097092900136,"*"
"71","ffcomcanc:unempl","1=Family cancer group X Unempl rate for county",-0.0584209795452351,0.0258096968361512,0.023603141291963,"*"
"72","unempl:ffcomorbid","Unempl rate for county X 1=Family underlying conditions",-0.0290896520060767,0.0122626139573602,0.0176814266841105,"*"
"73","vulnwomen:unempl","1=Women vulnerable X Unempl rate for county",0.0011212461412977,0.018582665285226,0.951886211003937,""
"74","unempl:vulnnonwhite","Unempl rate for county X 1=Nonwhites vulnerable",0.011030420431424,0.0142019795699398,0.43734647004332,""
"75","vulnnoneng:unempl","1=Non-Engl. vulnerable X Unempl rate for county",0.0199385679609929,0.0284739920608431,0.483778756139287,""
"76","unempl:vulnessent","Unempl rate for county X 1=Essentials vulnerable",0.0368192257511887,0.0137364556720317,0.00735337525212466,"*"
"77","ageb18to24:unempl","Unempl rate for county X unempl",0.0955256879428757,0.0208978478361416,4.85222121323185e-06,"*"
"78","ageb25to34:unempl","Unempl rate for county X unempl",-0.0125035827044632,0.0189160837465329,0.5086105727377,""
"79","ageb55to64:unempl","Unempl rate for county X unempl",0.160270493720932,0.0256836533900066,4.37081413842015e-10,"*"
"80","unempl:ageb75up","Unempl rate for county X ageb75up",0.0625216728676942,0.0318501441519046,0.0496467581256763,"*"
"81","rule1","Num. of Grocery restrictions",-0.130541306816398,0.127893501415299,0.307395075516324,""
"82","black:rule1","Num. of Grocery restrictions X rule1",0.301794641357577,0.142758545772085,0.0345134272800235,"*"
"83","asian:rule1","Num. of Grocery restrictions X rule1",0.223673022157299,0.104392702310874,0.0321442933635051,"*"
"84","nonbinary:rule1","Num. of Grocery restrictions X rule1",-10.1838736278567,9.66811706289752,0.292182387055405,""
"85","rule1:pzipage65to74","Num. of Grocery restrictions X pzipage65to74",0.300759459748034,0.886582216639939,0.734432924299913,""
"86","pziprmulti:rule1","Num. of Grocery restrictions X rule1",2.82154791918365,1.41253474765036,0.045770144561688,"*"
"87","rule1:pziphealthinsno","Num. of Grocery restrictions X pziphealthinsno",-0.384455046249024,0.807380090721968,0.633948974869806,""
"88","pzipiagric:rule1","Num. of Grocery restrictions X rule1",-0.760429085184362,0.732272023014688,0.29905983741076,""
"89","rule1:pzipiinfor","Num. of Grocery restrictions X pzipiinfor",1.74220318035682,1.25883488966921,0.166364367243498,""
"90","rule1:pzipiothserv","Num. of Grocery restrictions X pzipiothserv",-1.16281319767917,1.95682526472974,0.552355241483953,""
"91","comheart:rule1","1=Own heart group X Num. of Grocery restrictions",-0.165647859153751,0.116047021704992,0.153458821145794,""
"92","comresp:rule1","1=Own respir. group X Num. of Grocery restrictions",0.17032289808148,0.102701039345132,0.0972298936448792,""
"93","comcanc:rule1","1=Own cancer group X Num. of Grocery restrictions",-0.108603202685198,0.141033455902246,0.441268593633886,""
"94","comage:rule1","1=Own aged group X Num. of Grocery restrictions",0.11488713777382,0.120924961048675,0.342076853470388,""
"95","rule1:comother","Num. of Grocery restrictions X 1=Own other illness",-0.329601827177496,0.179058780574082,0.0656587132917145,""
"96","compreg:rule1","1=Own pregnancy X Num. of Grocery restrictions",-0.189762142398647,0.234010291895492,0.417415254850408,""
"97","comcovid:rule1","1=Own COVID X Num. of Grocery restrictions",-0.0396027116549876,0.142008376243622,0.780340075337411,""
"98","ffcomdiab:rule1","1=Family diabetes group X Num. of Grocery restrictions",-0.117280793784026,0.0844953617173956,0.165132606256177,""
"99","ffcomresp:rule1","1=Family respir. group X Num. of Grocery restrictions",-0.184030786698192,0.09446557620469,0.0513999624505063,""
"100","ffcomcanc:rule1","1=Family cancer group X Num. of Grocery restrictions",0.203619669785663,0.124381195721815,0.101617615040641,""
"101","rule1:ffcomage","Num. of Grocery restrictions X 1=Family aged group",0.0659361598900741,0.0933840951999173,0.480141598482393,""
"102","vulnteens:rule1","1=Teens vulnerable X Num. of Grocery restrictions",0.191045250348159,0.135684025673427,0.159126395011013,""
"103","vulnmen:rule1","1=Men vulnerable X Num. of Grocery restrictions",0.284638585153514,0.0957708654808029,0.00295790492703307,"*"
"104","vulnessent:rule1","1=Essentials vulnerable X Num. of Grocery restrictions",-0.118251449602128,0.0805085895541433,0.141885583976488,""
"105","ageb65to74:rule1","Num. of Grocery restrictions X rule1",-0.11587648642098,0.0951295075903781,0.22318903655353,""
"106","monthstwo:rule1","1=two-month restrictions X Num. of Grocery restrictions",-0.0331403589971775,0.0622975496454097,0.594747535086657,""
"107","rule2","Num. Nonessential restrictions",0.0539500218422471,0.0924724052555884,0.559612262811762,""
"108","black:rule2","Num. Nonessential restrictions X rule2",0.253909532132556,0.114157635233224,0.0261349204598014,"*"
"109","rule2:multi","Num. Nonessential restrictions X multi",0.0957741372618531,0.0733849778336674,0.191861569989247,""
"110","female:rule2","Num. Nonessential restrictions X rule2",-0.0240618213360068,0.0550648552579358,0.6621313725069,""
"111","nonbinary:rule2","Num. Nonessential restrictions X rule2",-3.73573065228447,2.63970601080894,0.157007787437275,""
"112","pziprblack:rule2","Num. Nonessential restrictions X rule2",-0.796968473240645,0.440057378422933,0.0701322125189145,""
"113","pziprasian:rule2","Num. Nonessential restrictions X rule2",-0.0764689049670427,0.195391507388969,0.695529321473098,""
"114","pzipiothserv:rule2","Num. Nonessential restrictions X rule2",-2.23021408400888,1.19518608775018,0.0620417349059033,""
"115","compreg:rule2","1=Own pregnancy X Num. Nonessential restrictions",-0.27858666230874,0.174898884284802,0.111195160994929,""
"116","comorbid:rule2","1=Own underlying conditions X Num. Nonessential restrictions",0.0875234760765576,0.054255375810973,0.106706252235396,""
"117","ffcompreg:rule2","1=Family pregnancy X Num. Nonessential restrictions",0.165537188418917,0.171906992796114,0.335574514288556,""
"118","ffcomcovid:rule2","1=Family COVID X Num. Nonessential restrictions",0.0993473149022222,0.0864698347764583,0.250587098813101,""
"119","vulnnoneng:rule2","1=Non-Engl. vulnerable X Num. Nonessential restrictions",-0.176177416493609,0.0892416917814212,0.048363503963979,"*"
"120","rule2:owninc","Num. Nonessential restrictions X Own hhld inc in 10K",0.000379766584049022,0.000428294679750137,0.37524334102364,""
"121","rule2:ageb35to44","Num. Nonessential restrictions X ageb35to44",0.0561000230701231,0.0635867670347302,0.377636545299749,""
"122","ageb55to64:rule2","Num. Nonessential restrictions X rule2",-0.122055148791949,0.0861861658559586,0.156722727046135,""
"123","ageb65to74:rule2","Num. Nonessential restrictions X rule2",-0.104268800436896,0.0763699534543501,0.172155064303273,""
"124","rule2:monthsthr","Num. Nonessential restrictions X 1=three-month restrictions",0.137385385935291,0.0579441600576604,0.0177402113017151,"*"
"125","rule3","Num. Schools restrictions",0.0301407138681642,0.0577800786563584,0.60191722733362,""
"126","comheart:rule3","1=Own heart group X Num. Schools restrictions",0.167915412060236,0.0918723586777451,0.0675940943677282,""
"127","rule3:comdiab","Num. Schools restrictions X 1=Own diabetes group",0.109398591710452,0.0656417861733613,0.0955939965643919,""
"128","comother:rule3","1=Own other illness X Num. Schools restrictions",-0.23326276503515,0.126089876579429,0.0643175580310427,""
"129","ffcompreg:rule3","1=Family pregnancy X Num. Schools restrictions",-0.400248094364499,0.164200880337896,0.0147871096725675,"*"
"130","ffcomcovid:rule3","1=Family COVID X Num. Schools restrictions",-0.0605566278397351,0.0797605625027187,0.44771486327497,""
"131","vulnseniors:rule3","1=Seniors vulnerable X Num. Schools restrictions",-0.158758935990519,0.0547965995132831,0.00376460849913438,"*"
"132","vulnnonwhite:rule3","1=Nonwhites vulnerable X Num. Schools restrictions",0.14464747640172,0.0749184518983293,0.0535161639269349,""
"133","vulnnoneng:rule3","1=Non-Engl. vulnerable X Num. Schools restrictions",-0.0788093997121035,0.0958773454592605,0.411087452886035,""
"134","vulnlowinc:rule3","1=Low-income vulnerable X Num. Schools restrictions",0.119054990630191,0.0662753443891349,0.0724358111216983,""
"135","owninc:rule3","Own hhld inc in 10K X Num. Schools restrictions",-0.000720903661481307,0.000356434881447112,0.0431206371788994,"*"
"136","ageb75up:rule3","Num. Schools restrictions X rule3",-0.294742630952857,0.131628559834486,0.0251429257309231,"*"
"137","rule4","Num. Colleges restrictions",0.117951436580671,0.0697432588172973,0.0907941289991935,""
"138","OR:rule4","Num. Colleges restrictions X rule4",-0.0727585429588996,0.0678128508456596,0.283301856931215,""
"139","demeanrp:rule4","Num. Colleges restrictions X rule4",0.0907879651751202,0.0352880522002428,0.0100888863681931,"*"
"140","black:rule4","Num. Colleges restrictions X rule4",0.259898698092664,0.113456989561513,0.0219793565728567,"*"
"141","asian:rule4","Num. Colleges restrictions X rule4",0.132436633005527,0.0809670061135375,0.101905231418468,""
"142","pziprasian:rule4","Num. Colleges restrictions X rule4",0.0231707324540322,0.215835161574982,0.914508276630801,""
"143","pzipifinan:rule4","Num. Colleges restrictions X rule4",-2.33667846909759,0.972170421514322,0.0162359126864449,"*"
"144","comheart:rule4","1=Own heart group X Num. Colleges restrictions",-0.0989160322410631,0.0876829483870192,0.259273363670342,""
"145","comage:rule4","1=Own aged group X Num. Colleges restrictions",0.132837703943018,0.0848278575300083,0.117356126646757,""
"146","ffcomage:rule4","1=Family aged group X Num. Colleges restrictions",0.0950362490689376,0.073343997305024,0.195058036632012,""
"147","ffcomorbid:rule4","1=Family underlying conditions X Num. Colleges restrictions",0.0858372379589603,0.0565539099948835,0.129066103190246,""
"148","vulnchild:rule4","1=Children vulnerable X Num. Colleges restrictions",0.0283142430013189,0.0604495887944245,0.639502641429328,""
"149","vulnteens:rule4","1=Teens vulnerable X Num. Colleges restrictions",0.0709087892392678,0.0965861108440735,0.462856717494298,""
"150","vulnwomen:rule4","1=Women vulnerable X Num. Colleges restrictions",-0.0588632146066034,0.0704322610975615,0.403299935173432,""
"151","vulnnonwhite:rule4","1=Nonwhites vulnerable X Num. Colleges restrictions",-0.0754452018623624,0.0671930837724928,0.261517340925225,""
"152","vulnlowinc:rule4","1=Low-income vulnerable X Num. Colleges restrictions",-0.0967912163163214,0.0645810835990594,0.133937225225276,""
"153","rule4:countypop","Num. Colleges restrictions X countypop",6.3005776250131e-09,7.07029231417796e-09,0.372857305297198,""
"154","rule5","Num. Parks restrictions",-0.0156196415331459,0.10625864051869,0.883134832808546,""
"155","OR:rule5","Num. Parks restrictions X rule5",0.0742280680556952,0.0688181883591449,0.280761090726802,""
"156","pziphealthinsno:rule5","Num. Parks restrictions X rule5",-1.41612251190623,0.544147534167421,0.00925574528707609,"*"
"157","pzipiconstr:rule5","Num. Parks restrictions X rule5",0.726360308279615,0.963192515520461,0.450778684797597,""
"158","rule5:pzipiprofsci","Num. Parks restrictions X pzipiprofsci",0.123545905223883,0.364338640796439,0.734537143935159,""
"159","comother:rule5","1=Own other illness X Num. Parks restrictions",-0.0608326168831207,0.122531190520058,0.619565400087725,""
"160","compreg:rule5","1=Own pregnancy X Num. Parks restrictions",0.239858785252152,0.189294506457671,0.205112517028198,""
"161","rule5:comnovax","Num. Parks restrictions X 1=Own no vaccine",-0.0802539444588883,0.0462979242569534,0.0830202911560284,""
"162","ffcomdiab:rule5","1=Family diabetes group X Num. Parks restrictions",0.106465407209745,0.0607891429332189,0.0798790087164712,""
"163","ffcomresp:rule5","1=Family respir. group X Num. Parks restrictions",0.0484770080165627,0.0707467232052918,0.493205654988756,""
"164","ffcomcanc:rule5","1=Family cancer group X Num. Parks restrictions",-0.17183761078618,0.095016004491376,0.070526807548785,""
"165","ffcomother:rule5","1=Family other illness X Num. Parks restrictions",0.159071525022124,0.246095374836866,0.518032246049465,""
"166","vulnchild:rule5","1=Children vulnerable X Num. Parks restrictions",-0.11525379756579,0.0554980041796853,0.0378274389910168,"*"
"167","vulnnoneng:rule5","1=Non-Engl. vulnerable X Num. Parks restrictions",0.0377378586190172,0.085991219743518,0.660765072293455,""
"168","rule5:vulnrural","Num. Parks restrictions X 1=Rural vulnerable",0.0740443719178009,0.0727611018401046,0.308850611144755,""
"169","owninc:rule5","Own hhld inc in 10K X Num. Parks restrictions",0.000458147452363015,0.000408657874000631,0.262244142823419,""
"170","ageb18to24:rule5","Num. Parks restrictions X rule5",-0.0492990991877437,0.0777180022494915,0.525863476999201,""
"171","ageb25to34:rule5","Num. Parks restrictions X rule5",0.14018142814034,0.0639524811980286,0.0283822285257272,"*"
"172","countypop:rule5","Num. Parks restrictions X rule5",-3.90391310670583e-09,7.52512268204168e-09,0.603911389550329,""
"173","rule5:fedui","Num. Parks restrictions X Federal UI",0.000122508658478322,0.000164079341692999,0.455279208105394,""
"174","monthsthr:rule5","1=three-month restrictions X Num. Parks restrictions",-0.0618635700914375,0.0552367969577593,0.262726433789378,""
"175","rule6","Num. Gyms restrictions",-0.00146779250505682,0.0790731779373033,0.985190152245108,""
"176","WA:rule6","Num. Gyms restrictions X rule6",0.0827292202129108,0.0543096244377463,0.127686571235024,""
"177","pzipiagric:rule6","Num. Gyms restrictions X rule6",-0.201240815159447,0.56234157056084,0.720446408506536,""
"178","pzipiwholes:rule6","Num. Gyms restrictions X rule6",-0.628761045668803,1.59650312154668,0.693701826778968,""
"179","rule6:pzipipubadm","Num. Gyms restrictions X pzipipubadm",-0.254964005928986,0.674817878191422,0.705559564561165,""
"180","comresp:rule6","1=Own respir. group X Num. Gyms restrictions",-0.142433863248829,0.0860074405573791,0.0977087711780042,""
"181","comcanc:rule6","1=Own cancer group X Num. Gyms restrictions",-0.0824291279033709,0.11143125228958,0.45946336354649,""
"182","compreg:rule6","1=Own pregnancy X Num. Gyms restrictions",0.12410549700202,0.180354493573635,0.491377346413467,""
"183","comnovax:rule6","1=Own no vaccine X Num. Gyms restrictions",-0.054678496764593,0.0455388392124792,0.229867487434074,""
"184","comorbid:rule6","1=Own underlying conditions X Num. Gyms restrictions",-0.108419713450195,0.0627897223666403,0.0842195529421304,""
"185","rule6:ffcomheart","Num. Gyms restrictions X 1=Family heart group",0.0883682422651754,0.0770369068018433,0.251344550601658,""
"186","ffcomresp:rule6","1=Family respir. group X Num. Gyms restrictions",0.0426696989522077,0.0756886498907058,0.572922282533835,""
"187","ffcomcanc:rule6","1=Family cancer group X Num. Gyms restrictions",0.160011737752666,0.097645841057159,0.101276825255814,""
"188","ffcomcovid:rule6","1=Family COVID X Num. Gyms restrictions",0.10688684098528,0.0865188664477076,0.216675510093505,""
"189","vulnwomen:rule6","1=Women vulnerable X Num. Gyms restrictions",-0.103876338179059,0.0693697655639898,0.134281519037663,""
"190","vulnrural:rule6","1=Rural vulnerable X Num. Gyms restrictions",0.0348363022304692,0.0746513939093196,0.640748110362762,""
"191","ageb25to34:rule6","Num. Gyms restrictions X rule6",0.0760331444686591,0.0700463797827084,0.277714171948392,""
"192","ageb35to44:rule6","Num. Gyms restrictions X rule6",0.118561185296645,0.0658993703764903,0.0719989564795156,""
"193","ageb65to74:rule6","Num. Gyms restrictions X rule6",-0.0294574092845566,0.0760695963869239,0.698576410966969,""
"194","ageb75up:rule6","Num. Gyms restrictions X rule6",0.200194993340924,0.127583526751209,0.116617917316058,""
"195","monthstwo:rule6","1=two-month restrictions X Num. Gyms restrictions",-0.0578259939237091,0.0492652263633426,0.240487576732911,""
"196","rule7","Num. Theaters restrictions",-0.142131538075408,0.119859211811212,0.235693103041859,""
"197","asian:rule7","Num. Theaters restrictions X rule7",0.0771542632219045,0.0798446463056207,0.333891695913036,""
"198","pvotedem:rule7","Num. Theaters restrictions X rule7",0.344833674449544,0.171753773045412,0.0446729369713186,"*"
"199","rule7:pzipage18to24","Num. Theaters restrictions X pzipage18to24",0.757669844853987,0.518015663297346,0.143566221077762,""
"200","pziprblack:rule7","Num. Theaters restrictions X rule7",0.191751763556361,0.431316829992717,0.656628452798883,""
"201","pziphealthinsno:rule7","Num. Theaters restrictions X rule7",0.493210638233,0.538803558286397,0.359991553669728,""
"202","pzipiinfor:rule7","Num. Theaters restrictions X rule7",-1.69101360175993,0.869315538255147,0.0517480033103879,""
"203","comdiab:rule7","1=Own diabetes group X Num. Theaters restrictions",0.0333372811823278,0.066862851895479,0.61806686185088,""
"204","comresp:rule7","1=Own respir. group X Num. Theaters restrictions",0.0983854875906388,0.0728677634915017,0.176954332071222,""
"205","comcanc:rule7","1=Own cancer group X Num. Theaters restrictions",0.118828371521888,0.104620113587717,0.256036889999092,""
"206","compreg:rule7","1=Own pregnancy X Num. Theaters restrictions",-0.228009533145413,0.16513964480569,0.167368938516977,""
"207","comcovid:rule7","1=Own COVID X Num. Theaters restrictions",-0.193637299451938,0.118906823834318,0.103423298140198,""
"208","ffcomheart:rule7","1=Family heart group X Num. Theaters restrictions",-0.13252022207651,0.080798164341755,0.100976264912495,""
"209","ffcomage:rule7","1=Family aged group X Num. Theaters restrictions",0.0112666372768855,0.072627492004785,0.876719543491086,""
"210","ffcompreg:rule7","1=Family pregnancy X Num. Theaters restrictions",-0.203848856761442,0.162873554966123,0.210723902210555,""
"211","ffcomcovid:rule7","1=Family COVID X Num. Theaters restrictions",-0.0402859787829309,0.0886428441139052,0.6494868014827,""
"212","ffcomorbid:rule7","1=Family underlying conditions X Num. Theaters restrictions",-0.102018679371568,0.0626930175636422,0.103679046326801,""
"213","vulnteens:rule7","1=Teens vulnerable X Num. Theaters restrictions",0.125064588887351,0.0968848496942413,0.196752901503502,""
"214","vulnseniors:rule7","1=Seniors vulnerable X Num. Theaters restrictions",0.108845190015662,0.0538355902652541,0.0431962621467332,"*"
"215","vulnessent:rule7","1=Essentials vulnerable X Num. Theaters restrictions",-0.12320600130321,0.0618458570401683,0.0463549974878545,"*"
"216","ageb18to24:rule7","Num. Theaters restrictions X rule7",0.136630432145561,0.0710522707516199,0.0544855020520588,""
"217","ageb75up:rule7","Num. Theaters restrictions X rule7",-0.190925468553239,0.108242018453014,0.0777529050080608,""
"218","fedui:rule7","Federal UI X Num. Theaters restrictions",-0.00053854485076902,0.000161465979488428,0.000851934363647545,"*"
"219","monthstwo:rule7","1=two-month restrictions X Num. Theaters restrictions",-0.103443822666873,0.0480314379044508,0.0312661326394566,"*"
"220","rule8","Num. Restaurants restrictions",0.0136460302324132,0.0810856116974181,0.866353853683955,""
"221","OR:rule8","Num. Restaurants restrictions X rule8",0.0257633271377744,0.0777697364300598,0.740435241733242,""
"222","WA:rule8","Num. Restaurants restrictions X rule8",-0.0726355161215071,0.063688770819649,0.254088035895109,""
"223","asian:rule8","Num. Restaurants restrictions X rule8",-0.181127776676577,0.0874262851508675,0.0382862320065683,"*"
"224","pziprblack:rule8","Num. Restaurants restrictions X rule8",-1.22422613136119,0.528644129032948,0.0205700119807278,"*"
"225","pziprasian:rule8","Num. Restaurants restrictions X rule8",-0.14773162695351,0.212150377950446,0.486207568471023,""
"226","rule8:pzipitransp","Num. Restaurants restrictions X pzipitransp",-1.30980323908471,0.681225746535615,0.0545158007386722,""
"227","rule8:pzipiartent","Num. Restaurants restrictions X pzipiartent",0.533747940616362,0.462592561535732,0.248574512422292,""
"228","comcovid:rule8","1=Own COVID X Num. Restaurants restrictions",0.156445972733763,0.112781656444124,0.165393600812341,""
